1 1 0 5.20947 5.20947 10.7195 1.14172 7.22302e-06 7.22302e-06
0 0 0 -23.5528 -23.5528 -53.7831 -4.34018e-13 -1.78421e-13 -6.81974e-14
3 1 0 1.27419 0.159513 0.754128 0.669668 -3.98208e-07 -1.05553e-07
5 1 0 0.312253 -0.00972506 0.156534 0.152776 8.64099e-08 6.75458e-08
7 1 0 0.100267 -0.00500784 0.0610083 0.0427567 -5.78222e-09 -3.29429e-09
9 1 0 0.0451853 -0.00230056 0.0312166 0.0148356 5.15717e-10 3.05266e-10
11 1 0 0.0251115 -0.000984495 0.0187092 0.00614845 -3.83733e-11 -1.7586e-11
13 1 0 0.016134 -0.000303852 0.0126402 0.00287537 3.13516e-12 8.98028e-13
15 1 0 0.0116952 5.42165e-05 0.00946137 0.0014368 7.53285e-13 -4.09949e-13
17 1 0 0.00948031 0.000230406 0.00776674 0.000696505 5.79093e-13 3.43661e-13
19 1 0 0.00856504 0.000315759 0.00699815 0.000219974 -1.15955e-13 -4.22762e-13
1 3 0 0.159513 1.27419 0.754128 0.669668 -1.05553e-07 -3.98207e-07
1 5 0 -0.00972506 0.312253 0.156534 0.152776 6.75454e-08 8.64098e-08
3 3 0 0.152203 0.152203 0.0848392 0.213627 -5.72487e-07 -5.72487e-07
5 3 0 0.109737 0.0733811 0.0666671 0.125102 1.87864e-08 2.86159e-08
3 5 0 0.0733811 0.109737 0.0666671 0.125102 2.86155e-08 1.87865e-08
5 5 0 0.0428065 0.0428065 0.00693925 0.0506809 3.64253e-09 3.64225e-09
7 3 0 0.0662211 0.0264468 0.0372922 0.059652 -3.41568e-09 -3.77149e-09
7 5 0 0.0307321 0.0295535 0.0153544 0.0371606 4.7722e-10 3.65023e-10
9 3 0 0.0375341 0.00966925 0.0228308 0.0278672 1.61004e-10 2.2585e-10
11 3 0 0.0227596 0.00406849 0.0152423 0.0136688 -3.06761e-11 -2.13469e-11
9 5 0 0.0239468 0.0165536 0.0139076 0.0242629 1.45623e-11 -9.81115e-12
11 5 0 0.0175893 0.00881511 0.0109761 0.0145725 -2.80074e-12 3.47431e-13
13 3 0 0.0152307 0.00208899 0.0110187 0.00709055 3.38122e-12 2.02911e-12
13 5 0 0.0130437 0.00496831 0.00871722 0.00850028 3.04424e-12 5.26858e-13
15 3 0 0.0112573 0.00133081 0.00858132 0.00374187 1.33645e-12 8.84166e-14
17 3 0 0.00922104 0.00101201 0.00720526 0.00182306 -5.82508e-13 -2.2511e-13
15 5 0 0.0102187 0.00310305 0.00722566 0.00480591 1.15114e-12 3.70597e-14
17 5 0 0.00865012 0.00221952 0.00628835 0.0024548 2.08064e-13 6.95471e-13
19 3 0 0.00838755 0.000902582 0.00656662 0.000543322 3.92207e-14 2.75751e-13
19 5 0 0.00797315 0.00186379 0.00582422 0.000753026 8.40528e-15 -2.88072e-13
1 7 0 -0.00500784 0.100267 0.0610083 0.0427567 -3.29483e-09 -5.78256e-09
3 7 0 0.0264468 0.0662211 0.0372922 0.059652 -3.77133e-09 -3.41524e-09
5 7 0 0.0295535 0.0307321 0.0153544 0.0371606 3.64853e-10 4.7692e-10
